premise,hypothesis,true_label,predicted_label,word_overlap,categories,has_negation
"A man, with a green cloth over his face, rests with his arms crossed beside a tan wall.",The man is covering his face and taking a break.,entailment,neutral,20.00%,missed_entailment,False
"A man, with a green cloth over his face, rests with his arms crossed beside a tan wall.",The man is at the rodeo watching bull riding.,neutral,contradiction,0.00%,low_overlap,False
"The horses pull the carriage, holding people and a dog, through the rain.",Horses ride in a carriage pulled by a dog.,contradiction,entailment,25.00%,missed_contradiction,False
A badminton player from china is sprawled out on the badminton court with his racket close by.,A badminton player is taking a nap.,neutral,contradiction,66.67%,other,False
Row of plastic horses that form a childrens ride with one child riding.,one child is on a marry go round,neutral,contradiction,37.50%,other,False
Row of plastic horses that form a childrens ride with one child riding.,he is riding the ride with friends,contradiction,neutral,28.57%,other,False
Two young men in unusual clothing are jumping in a gym.,The two men are freinds,neutral,entailment,60.00%,false_entailment,False
"A little girl wearing a pink, yellow and white bathing suit, gets wet from a splash of water.",A girl wears a suit to work.,contradiction,neutral,33.33%,other,False
A boy in a blue shirt looks away from the camera as a girl in a pink and orange bathing suit stares into the camera in front of an RV.,A boy looks into the camera while a girl looks away from he camera.,contradiction,entailment,75.00%,"high_overlap, missed_contradiction",False
A man with glasses and a Hawaiian shirt is standing next to a dog while another man with a blue hat looks at them from the back.,"Two men are following the actions of a dog, one stands next to the dog.",neutral,entailment,28.57%,"negation, long_hypothesis, false_entailment",True
A man wearing a cap and a black wetsuit on a rocky coast lifts a large sack with three sacks in front of him with another man and a small yellow boat in the background.,A man unloading a boat.,neutral,entailment,50.00%,"negation, false_entailment",True
A girl in a field with a yellow scarf.,The girl has a red shirt on.,neutral,contradiction,28.57%,other,False
The person in black T-shirt is sitting.,The man is attending a concert.,neutral,contradiction,33.33%,other,False
girl sitting in fire for a show,The girl is a performer for the show.,entailment,neutral,42.86%,missed_entailment,False
Several people stopped by the side of the road are watching what is happening in the woods.,Women are gossiping about a blowfish,contradiction,neutral,16.67%,"low_overlap, quantifier",False
Several people stopped by the side of the road are watching what is happening in the woods.,People are talking to eachother,contradiction,neutral,40.00%,quantifier,False
A man is carrying a child while holding a red and blue umbrella.,Two humans are outside.,neutral,entailment,0.00%,"low_overlap, short_hypothesis, false_entailment",False
Two men and a woman finishing a meal and drinks.,Some people eating a meal.,entailment,contradiction,20.00%,"quantifier, false_contradiction",False
"Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.",The convertible splashed through a puddle of water that soaked the other group of people.,neutral,contradiction,46.15%,"negation, long_hypothesis",True
Two wrestlers jump in a ring while an official watches.,Two wrestlers were just tagged in on a tag team match.,entailment,neutral,36.36%,missed_entailment,False
A girl prepares herself for the swim meet.,The girl has swam before.,entailment,neutral,40.00%,missed_entailment,False
An Asian man is cooking food.,The man is in a kitchen.,neutral,entailment,33.33%,false_entailment,False
"A man dressed in a bronze suit, wearing bronze colored glasses, is accompanied with a bronze old fashion movie camera, motions taking a movie.",A man is filming a movie.,neutral,entailment,80.00%,"high_overlap, false_entailment",False
"The baseball player wearing the ""Irish"" uniform prepares to throw the ball to his teammate as the umpire watches closely.",Two baseball players practicing with an umpire watching.,entailment,neutral,25.00%,missed_entailment,False
Two oriental lizards are fighting for dominance in a small pond,Two oriental snakes are fighting for dominance in a small pond,contradiction,entailment,90.91%,"high_overlap, missed_contradiction",False
A boy poses in karate form and uniform.,A karate student poses in his gi,entailment,neutral,57.14%,missed_entailment,False
"The young girl wearing a pink shirt is putting a box, with a drawn face and bow, on a shelf along with other food.",a young girl putting away her toys,neutral,contradiction,57.14%,other,False
A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,The catcher is holding a bat.,contradiction,neutral,50.00%,other,False
A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out.,A player is hoping to score a run.,entailment,neutral,28.57%,missed_entailment,False
Two small children are gathering water from a large container.,Two kids are collecting water from a stream.,contradiction,neutral,62.50%,other,False
Two small children are gathering water from a large container.,Two kids are getting a drink of water.,neutral,entailment,37.50%,false_entailment,False
A man is singing on stage with his fingers in a stuffed bear's nose.,The man on stage singing with his fingers in a bear's nose is mute.,neutral,contradiction,78.57%,"negation, high_overlap",True
"Two dogs, one lying down, play in a yard.",They are going to run away together.,contradiction,neutral,0.00%,low_overlap,False
A red-haired clown cries streams of tears in a white hat on stage.,The clown is very upset.,entailment,neutral,20.00%,missed_entailment,False
A red-haired clown cries streams of tears in a white hat on stage.,The clown is having a fit in front the the children.,neutral,contradiction,33.33%,other,False
A woman and man are cutting a large cake.,Two newly weds are cutting their wedding cake.,entailment,neutral,37.50%,missed_entailment,False
"Three young men in blue jeans are gathered inside a wood-paneled room, one of them handling a crossbow.",four young men get ready to go hunting in a wooden room,contradiction,neutral,33.33%,other,False
"A middle-aged male wearing a baseball cap, a shirt inscribed orange county traders and white towel tucked under his belt and preparing a meal in hibachi style.",The man is folding clothing.,contradiction,entailment,0.00%,"low_overlap, missed_contradiction",False
A puppet show consisting of humans standing on tall sticks.,How the puppet shows work.,entailment,neutral,20.00%,missed_entailment,False
The boy jumps into the blue pool.,There is a boy outside.,neutral,entailment,20.00%,false_entailment,False
"A man wearing a hat, glasses and a painted mustache standing in a crowd of Asian people holding up a stick.","Man in a straw hat and glasses, raising a cane into the air, surrounded by a crowd.",neutral,contradiction,26.67%,long_hypothesis,False
A woman is sitting in a chair filling out some paperwork.,A woman looks over some forms.,neutral,entailment,50.00%,"quantifier, false_entailment",False
A woman with red-hair swings a pillow and laughs.,A woman fluffs a pillow,neutral,contradiction,75.00%,high_overlap,False
A woman with red-hair swings a pillow and laughs.,A woman makes her bed comfortable,contradiction,neutral,33.33%,other,False
Two people sit on a bench leaned against a building with writing on it.,Tow people are resting their backs against a bench.,entailment,neutral,33.33%,missed_entailment,False
Two people watch TV from over a white ledge.,A large family is watching a movie.,contradiction,neutral,16.67%,low_overlap,False
One football player wearing an orange jersey and one wearing a white jersey are set at the starting line.,Two players from opppsing teams face off.,entailment,neutral,0.00%,"low_overlap, missed_entailment",False
A dark-skinned man smoking a cigarette near a green trashcan.,Near the trashcan the man stood and smoked,entailment,neutral,28.57%,missed_entailment,False
A woman in black framed glasses peruses a photo album while sitting in a red wicker chair.,A blind woman sits in a chair.,contradiction,neutral,66.67%,other,False
A young man in front of a grill laughs while pointing at something to his left.,A young man is in front of a girll,entailment,neutral,75.00%,"high_overlap, missed_entailment",False
A young child sits on the floor and leans against a map to eat.,The child is eating a sandwhich.,neutral,contradiction,50.00%,other,False
images are missing images are missing images are missing images are missing images are missing images are missing,The images were deleted.,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
A young girl in a pink coat erasing words on a chalkboard sign.,A little girl is cleaning a chalkboard.,entailment,contradiction,33.33%,false_contradiction,False
"As part of a manicure, a person has their nails filed to the proper length and shape.",A woman has her nails filed for a manicure.,entailment,neutral,50.00%,missed_entailment,False
A woman in a purple sweater has an odd look on her face.,A woman in a purple sweater is getting her hair done,neutral,contradiction,60.00%,other,False
A white dog is walking on a rocky hillside.,A dog walks over large rocks.,neutral,entailment,33.33%,false_entailment,False
A lady rows a canoe filled with things.,The woman is unpacking items from her boat.,contradiction,neutral,0.00%,"negation, low_overlap",True
A lady rows a canoe filled with things.,A woman rows a small boat loaded with items.,entailment,neutral,37.50%,"negation, missed_entailment",True
Two cars parked on the side of a street with seven people doing different tasks on the sidewalk.,seven people are trying to move a car off the sidewalk.,contradiction,neutral,45.45%,other,False
A gentleman smiling and showing his reflective sunglasses.,A gentleman smiling and showing his reflective sunglasses to others.,entailment,neutral,70.00%,missed_entailment,False
A gentleman smiling and showing his reflective sunglasses.,A gentlemen sitting in a chair looking out a window.,neutral,contradiction,12.50%,low_overlap,False
"Two young man are getting ready for a game of pool on a purple pool table, with another young man in the background, holding a drink.",two men gamble,neutral,contradiction,33.33%,"negation, short_hypothesis",True
A smiling man wearing a football jersey is carrying a stack of video games.,The man totes the video games,entailment,neutral,40.00%,missed_entailment,False
A man wearing a plaid shirt and brown apron is standing in front of an open fire.,The man is standing in the rain.,contradiction,neutral,66.67%,other,False
A man wearing a plaid shirt and brown apron is standing in front of an open fire.,The fire is burning near the man.,entailment,neutral,16.67%,"low_overlap, missed_entailment",False
The dude at the party is raging!,A man is yelling at a party.,neutral,entailment,33.33%,false_entailment,False
"A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.",The black box is shaped like a ball.,contradiction,neutral,37.50%,other,False
"A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.",The man is being watched.,neutral,entailment,20.00%,false_entailment,False
The man and woman are both smiling.,A guy and a lady are standing near each other.,neutral,entailment,22.22%,"quantifier, false_entailment",False
a man with a tattoo on his arm cooking something in a frying pan.,A man is making ice cream.,contradiction,neutral,33.33%,other,False
A soccer team dressed in all black are gathered together on a soccer field where it is cold enough to see one's own breath.,Some players are playing soccer in ground,entailment,neutral,42.86%,"negation, quantifier, missed_entailment",True
Two children plus two dachshunds get ready for a sleepover.,The dachshunds are dogs,entailment,contradiction,25.00%,"short_hypothesis, false_contradiction",False
Two children plus two dachshunds get ready for a sleepover.,The children are taking a nap,contradiction,entailment,33.33%,missed_contradiction,False
"Though frail looking, this turbaned woman is able to carry a large pot and a bound bundle of long sticks.",An old person carrying a pot,neutral,entailment,33.33%,false_entailment,False
"A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her.",two girls talking about boys,neutral,contradiction,0.00%,"negation, low_overlap",True
A man riding a dirt bike on a racetrack.,A man is riding a dirt bike in a race at a track.,entailment,neutral,50.00%,missed_entailment,False
Two women in bathing suits walks across the sand.,Two enemies are walking across the sand.,neutral,contradiction,57.14%,other,False
Two construction workers complete a task near the ground while a third worker looks on.,Workers pull together to get the project completed.,entailment,neutral,25.00%,missed_entailment,False
Two construction workers complete a task near the ground while a third worker looks on.,Workers are on their way home.,contradiction,neutral,16.67%,low_overlap,False
The elaborate Jesus shrine is being carried in a parade.,A bhudda shrine is being lifted through a crowd of people.,contradiction,neutral,40.00%,other,False
"Groups of people are sitting on a curb and the others are walking, a young woman is pretending to be a stone statue of an angel and a woman has a little boy on her shoulders.",groups of people are imatating themselves,contradiction,entailment,66.67%,missed_contradiction,False
Man with dreadlocks on a skateboard in the middle of the street.,The man with dreadlocks does skateboard tricks in the middle of the road.,entailment,neutral,72.73%,"high_overlap, missed_entailment",False
"Many people take pictures as a blond woman wearing a cover-up only costume holds a sign proclaiming ""Photographers Not Predators"" on a pier.",Many people's take photo with a yellow woman,neutral,contradiction,50.00%,"negation, quantifier",True
Here are a bunch of people enjoying dinner and chatting.,Our group is enjoying an early brunch.,contradiction,neutral,14.29%,low_overlap,False
A man in a black shirt sits next to an old woman in a pink shirt on a train.,A man is sitting on the train talking to a woman.,entailment,neutral,40.00%,missed_entailment,False
"A man is using a long lens on a camera to take a closeup of a colorful, chubby man on a bicycle with a large maroon and white umbrella attached to it.",A man taking a picture of someone.,entailment,neutral,50.00%,missed_entailment,False
Two dogs play with tennis ball in field.,The dogs are romping across the field.,entailment,neutral,33.33%,missed_entailment,False
A man in a black jacket is talking with two blond women as they stand near a car in the sunshine.,It is a nice day outside.,neutral,entailment,33.33%,false_entailment,False
Boy standing in line in a grocery store with his items on the conveyor belt.,He is waiting to pay.,entailment,neutral,0.00%,"low_overlap, missed_entailment",False
Two pedestrians walking past a sidewalk cafe on a cobblestone street.,two pedestrians walk on a cobblestone road a long way away from a cafe,contradiction,neutral,50.00%,other,False
The side of a building next to a church is painted with a brightly colored Coca-Cola sign.,There is a Coca-Cola sign on a church next to a building.,contradiction,entailment,60.00%,missed_contradiction,False
A toddler in a denim hats plays in a tire.,A toddler playing in a tire outside.,entailment,neutral,50.00%,missed_entailment,False
The little boy is in the park near a duck.,The boy fell in the water on the duck.,contradiction,neutral,57.14%,other,False
Men and women in swimsuits hangout on rocks above water.,The rocks hangout above the water.,contradiction,entailment,80.00%,"high_overlap, missed_contradiction",False
The baseball player is running after the ball.,The player dropped the ball.,neutral,contradiction,75.00%,high_overlap,False
The baseball player is running after the ball.,The person is playing a game.,entailment,neutral,33.33%,missed_entailment,False
A man in a long-sleeved blue shirt and blue jeans has set up some name trains on the ground looking to sell his wares.,A man is wearing a large blue shirt.,neutral,contradiction,42.86%,quantifier,False
A blue race car slides off the racetrack and hits white median bumpers with its rear.,The automobile lost control and hit something.,entailment,neutral,28.57%,missed_entailment,False
A group of people are standing in front of parked bicycles on a corner with various carrying bags on the ground.,The group of people are sitting around having a picnic.,neutral,contradiction,60.00%,other,False
Several young people standing next to ten-speed bikes.,Several young people are standing next to motorcycles.,contradiction,entailment,75.00%,"high_overlap, quantifier, missed_contradiction",False
"A group of teenagers are standing in front of some tents, most of them are holding skateboards.",A group of teenagers are holding something,neutral,entailment,85.71%,"high_overlap, quantifier, false_entailment",False
A man in jeans and a white shirt is standing near a rock formation with his back to the camera.,"A man is on top of a rock formation, taking in the view.",neutral,contradiction,50.00%,other,False
A man in a hat stands in front of a brick wall.,A man in a hat is outside.,neutral,entailment,66.67%,false_entailment,False
A man cooking food on the stove.,A man is making hot food.,entailment,neutral,33.33%,missed_entailment,False
Two grownups are waiting for the bus to arrive on a cold day.,They are waiting for the bus to pick them up.,entailment,neutral,60.00%,missed_entailment,False
A man is throwing a big stick into the water so his two dogs and go fetch it.,Two large dogs are fetching for their master.,entailment,neutral,25.00%,missed_entailment,False
A person in a green canoe paddles down rapids carrying oars and wearing an orange and black top.,a person on a river paddles a canoe,neutral,entailment,66.67%,"negation, false_entailment",True
An elder bearded man having a rest in a dilapidated building.,The old man is dozing in the ancient ruin.,contradiction,neutral,25.00%,other,False
One man is shirtless while the other two men work on construction,Three men are outdoors.,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
The boy in the black and red swimsuit is jumping into the water.,The boy in the black and red swimsuit is about to go swimming,entailment,neutral,66.67%,missed_entailment,False
"An Asian man in colorful robes holds a bell and leans toward a small table, with Buddhist or Hindu decorations on the table and the walls.",An Asian man in colorful light robes holds a bell.,entailment,neutral,80.00%,"high_overlap, missed_entailment",False
There is a street with buildings and one man in black walking on the side of the road.,The buildings are walking on the street.,contradiction,entailment,66.67%,missed_contradiction,False
Two men in animal print pajama bottoms sleep on a bed.,Two men are in pajamas.,entailment,contradiction,60.00%,false_contradiction,False
Two backpackers look at scenic mountains.,Two guys are rock climbers.,neutral,contradiction,20.00%,other,False
An airplane flying over a fence with a few bystanders watching it as it approaches its landing.,The airplane is flapping its wings on final approach.,contradiction,neutral,22.22%,quantifier,False
An airplane flying over a fence with a few bystanders watching it as it approaches its landing.,The airplane is heavy,entailment,neutral,25.00%,"short_hypothesis, quantifier, missed_entailment",False
Boy reading book with company of a rolled over dog.,The child is attending the circus.,contradiction,neutral,0.00%,low_overlap,False
A guy is standing in front of a toilet with a coffee cup in one hand and a toilet brush in the other.,A man is attempting to brew coffee.,contradiction,neutral,28.57%,other,False
A guy is standing in front of a toilet with a coffee cup in one hand and a toilet brush in the other.,A man may have created a monster too unwilling to be flushed.,contradiction,neutral,9.09%,low_overlap,False
This football team wears red shirts and red helmets.,They are outdoors on the field.,neutral,entailment,0.00%,"low_overlap, false_entailment",False
This football team wears red shirts and red helmets.,They are playing football.,entailment,neutral,0.00%,"low_overlap, short_hypothesis, missed_entailment",False
"A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage.","Two men pull luggage across the street, while wearing aprons.",contradiction,entailment,20.00%,"negation, missed_contradiction",True
Two women and a younger girl laugh and converse in front of a green tent and blue microphone.,Two women and a younger girl joyously laugh,entailment,neutral,87.50%,"high_overlap, missed_entailment",False
Two entertainers on a stage performing acrobatic moves.,Two entertainers are performing acrobatics in a car.,neutral,contradiction,50.00%,other,False
"A worried blond-haired baby is sitting inside a large, shiny metal cooking pot that is on top of an electric stove.",A baby being cooked on the stove.,neutral,entailment,57.14%,false_entailment,False
Young man with a beard is sitting on the edge of the bed reading a manual.,He is learning something.,entailment,neutral,25.00%,"short_hypothesis, missed_entailment",False
Ski equipment sits alone on a snowy mountain,Skis and boots are outside a ski lodge while the skiers enjoy a hot drink indoors.,neutral,contradiction,13.33%,"negation, low_overlap, long_hypothesis",True
There are a lot of people in front of a tan building with colorful squares hanging from the top.,Men and women stand in front of a building,entailment,neutral,55.56%,missed_entailment,False
Two men are standing in front of musical mixing equipment.,There are people indoors.,neutral,entailment,25.00%,"short_hypothesis, false_entailment",False
Skiiers are walking through the snow near the mountains.,There are people and animals in the snow.,neutral,entailment,25.00%,"negation, false_entailment",True
A baby with star shades on.,A baby wearing glasses.,entailment,neutral,50.00%,"short_hypothesis, missed_entailment",False
Two boys standing on top of a diving platform and one captured midair.,Two boys standing bravely on top of a diving platform,entailment,neutral,90.00%,"high_overlap, missed_entailment",False
The band prepares for the next song.,There are multiple people present.,neutral,entailment,0.00%,"low_overlap, false_entailment",False
A group of men work on some streetcar rails.,The group of men are fixing the rails.,entailment,neutral,57.14%,"quantifier, missed_entailment",False
A young boy and girl playing baseball in a grassy field.,kids play t-ball,contradiction,entailment,0.00%,"low_overlap, short_hypothesis, missed_contradiction",False
An older man indulging in a bottle of amber liquid.,An old man is drinking some amber liquid from a bottle.,entailment,neutral,36.36%,"quantifier, missed_entailment",False
An Asian man stands behind a makeshift storefront with a handmade yellow poster advertising watch repair.,A man stands by his watch shop.,neutral,entailment,57.14%,false_entailment,False
A young girl jumping in front of the White House.,Someone is visiting the statue of Liberty.,contradiction,neutral,28.57%,other,False
A woman pulls a small child in a sled through the snow.,A child makes a snowman.,contradiction,neutral,50.00%,negation,True
A woman is pulling a child on a sled in the snow.,A child is sitting on a sled.,entailment,contradiction,66.67%,"negation, false_contradiction",True
"Two white-haired women, both wearing hats, play saxophones while standing in front of a pair of landscape paintings.",Two women make noise.,neutral,entailment,25.00%,"negation, short_hypothesis, false_entailment",True
"Two white-haired women, both wearing hats, play saxophones while standing in front of a pair of landscape paintings.",Two jazzwomen improvise together.,neutral,contradiction,25.00%,short_hypothesis,False
A girl jumping on pavement.,A girl outside,neutral,entailment,66.67%,"short_hypothesis, false_entailment",False
Two women looking at the camera and a man looking away.,A group of people hugging.,neutral,contradiction,20.00%,other,False
Two men exchange conversation in a crowded place.,Two men exchange conversation in a crowded arena.,entailment,neutral,87.50%,"high_overlap, missed_entailment",False
The boy wearing the blue hooded top is holding a baby goat in his arms.,The goat jumped into the boys arms.,neutral,contradiction,50.00%,other,False
The dog is catching a treat.,the dog is looking at the treat,entailment,neutral,50.00%,missed_entailment,False
The greyhounds are running quickly in this race.,The big greyhounds are running quickly in this race.,entailment,neutral,88.89%,"high_overlap, missed_entailment",False
"A man with a beard, curly hair and a beard wearing a green shirt and navy blue jacket standing still looking through his red sunglasses.",A man has a walking stick.,neutral,contradiction,40.00%,other,False
A little blond boy throwing a soapy sponge at his moms car.,A small boy is playing at the park.,contradiction,neutral,37.50%,other,False
A woman wearing a red hat and black coat.,The woman is asleep.,neutral,contradiction,25.00%,short_hypothesis,False
A band playing with fans watching.,A band watches the fans play,contradiction,entailment,50.00%,missed_contradiction,False
Two children in swimming trunks are standing under a water sprinkler while a crowd looks on.,The crowd watches the children play in the sprinkler,entailment,neutral,57.14%,missed_entailment,False
Two children in swimming trunks are standing under a water sprinkler while a crowd looks on.,They play x-box in the sprinkler,contradiction,neutral,33.33%,other,False
An Asian woman is looking at the camera while trimming asparagus.,Woman prepares an asparagus casserole.,neutral,entailment,40.00%,false_entailment,False
A man on a small 4 wheeled vehicle is flying through the air.,The man is on a bike.,contradiction,neutral,83.33%,high_overlap,False
A baby wearing yellow is pretending to be a doctor while inside a stroller.,A baby is role playing as a professional,entailment,neutral,42.86%,missed_entailment,False
a woman in green stands with her hands on her hips.,A woman is raising her hands up.,contradiction,entailment,57.14%,missed_contradiction,False
A rock climber climbs a steep mountain.,a climber is trying to get to the top of the mountain,entailment,neutral,20.00%,missed_entailment,False
A woman in a blue dress is sweeping the floor in a cobblestone road,The woman sweeps in preparation.,neutral,entailment,60.00%,false_entailment,False
A man wearing glasses and a dark coat looks at something to the left of the picture.,A man in a dark coat takes a photo.,contradiction,entailment,57.14%,missed_contradiction,False
A man wearing glasses and a dark coat looks at something to the left of the picture.,A man in a dark coat looks to his side.,entailment,contradiction,66.67%,false_contradiction,False
A man wearing glasses and a dark coat looks at something to the left of the picture.,A mark in a dark coat looks to someone else.,neutral,entailment,55.56%,false_entailment,False
A young man moving aside to let a young woman pass by.,A man checks out a woman who passes him.,neutral,entailment,37.50%,false_entailment,False
Two black dogs running,The two black dogs are running beside each other.,neutral,entailment,44.44%,"quantifier, false_entailment",False
A woman dressed in a blue long-sleeved shirt and wearing a hairnet.,The woman has something on her head.,neutral,entailment,14.29%,"low_overlap, false_entailment",False
A scientist with a checkered shirt on is looking into a microscope to learn more about the world.,A scientist is close to a scientific breakthrough.,neutral,entailment,57.14%,false_entailment,False
A salt-and-pepper-haired man with beard and glasses wearing black sits on the grass.,An elderly bearded man sitting on the grass.,entailment,neutral,50.00%,missed_entailment,False
A family day at the beach.,There are only families at the beach today.,entailment,contradiction,25.00%,false_contradiction,False
A family day at the beach.,There are a lot of families at the beach today.,neutral,entailment,30.00%,false_entailment,False
A man in a black long-sleeved tee-shirt is walking down the street with a cane.,A man walking with a caine.,entailment,contradiction,80.00%,"high_overlap, false_contradiction",False
Two construction workers in a truck having a conversation.,Two people are outside a truck.,contradiction,entailment,33.33%,missed_contradiction,False
An elderly man sleeping in a outdoor chair while another woman sits next to him.,Two people are outside.,neutral,entailment,0.00%,"negation, low_overlap, short_hypothesis, false_entailment",True
Male and female ballerinas dancing together and he is holding her slightly in air.,A man and women exercising,neutral,contradiction,20.00%,other,False
"A woman with long dark hair is carrying a bag over her shoulder which says ""hot"" in metallic pink letters.","A brunette completes her look with a trendy bag that spells ""HOT"" in flashy pink letters.",entailment,neutral,53.33%,"long_hypothesis, missed_entailment",False
A young man wearing a bandanna is lifting weights with a barbell.,The man is exercising.,entailment,neutral,50.00%,"short_hypothesis, missed_entailment",False
The man and the lady are wearing glasses and sitting in red chairs talking to John McCain.,Five people are in a meeting.,contradiction,neutral,33.33%,other,False
"A man in a dark suit talks with a middle-aged man and woman on a stage in front of a large logo of the letter ""D"" with the numeral five within it.",A couple of people are sitting in a room.,neutral,contradiction,37.50%,other,False
Man with short hair moves wooden structure.,The man moves the wooden post.,neutral,entailment,60.00%,false_entailment,False
People getting ready to cut a birthday cake.,they got ready to cut the cake on christmas,neutral,contradiction,33.33%,other,False
A woman wading through a pool in front of a waterfall.,The woman was sitting on a rubber floating device in the pool.,neutral,contradiction,27.27%,other,False
A woman wading through a pool in front of a waterfall.,The women was swimming in a pool of chocolate.,contradiction,neutral,44.44%,other,False
A skater performs a stunt off a cement wall covered in graffiti.,"A skateboarder falling off his board, onto the concrete below.",neutral,contradiction,20.00%,other,False
A man on a bicycle stops for a rest with his leashed dogs.,The man has three dogs with him.,neutral,entailment,28.57%,false_entailment,False
A girl with a cigarette in hand and a guy with a green hat wave at the camera.,The girl is smoking a Camel.,neutral,contradiction,50.00%,other,False
"Cheerleader on top of a cheerleading pyramid, girls are looking up at her one is in the background doing the same cheer.",Young women are competing in a cheerleading competition.,entailment,neutral,50.00%,missed_entailment,False
A snowboarder jumps high into the air off of a snowy ramp.,Snowboarder decides to put snowshoes on and hop around in the snow.,contradiction,neutral,16.67%,"negation, low_overlap",True
Two kickboxers compete in front of a live audience.,there is a competetion still going on,entailment,contradiction,14.29%,"low_overlap, false_contradiction",False
"A man wearing a top-hat, blue plaid pajama pants, a white shirt, and gold embroidered vest stands in front of an American Flag under a colorfully painted street-front, and speaks to a crowd from a microphone.",A man is singing the national anthem,neutral,contradiction,28.57%,other,False
A young puppy suckles from his mother.,A young puppy lays at it's mothers stomach.,entailment,contradiction,37.50%,false_contradiction,False
A young puppy suckles from his mother.,The puppy's eyes are still closed.,neutral,contradiction,0.00%,low_overlap,False
Three people are standing on the dock of a boat looking at something off-camera.,A shark is out of the frame.,neutral,contradiction,42.86%,other,False
"Three children, two boys and one girl, are standing behind bars with their mouths open like they are screaming.",The children scream as a monster jumps out,neutral,contradiction,0.00%,low_overlap,False
"Three children, two boys and one girl, are standing behind bars with their mouths open like they are screaming.",They children are protected by the bars,entailment,neutral,42.86%,missed_entailment,False
Competitive bikers in an inside race cross a line with one biker in blue and white raising his arm.,A race between competitive bikers on an inside track begins as a biker raises his arm.,neutral,entailment,60.00%,"long_hypothesis, false_entailment",False
A man in a blue shirt and blue jeans rides a dark brown horse with white feet at the rodeo.,the man is black,neutral,contradiction,50.00%,short_hypothesis,False
Five people wear name tags on a necklace and pose together.,The people are on the subway.,contradiction,neutral,40.00%,other,False
A man in a tank top holds a metal bar against a wall.,The man is demolishing a house.,neutral,contradiction,33.33%,other,False
Five adults are sitting on stone steps.,There are five grownups sitting on stone steps.,entailment,neutral,75.00%,"high_overlap, missed_entailment",False
A greyhound jumps over a chain.,A dog ran away from the racetrack.,neutral,contradiction,14.29%,low_overlap,False
"A young boy is taking a nap underneath a piece of cardboard that reads, ""Connie Facial Tissues.""",He sleeps under a large blanket,contradiction,neutral,16.67%,low_overlap,False
"A young boy is taking a nap underneath a piece of cardboard that reads, ""Connie Facial Tissues.""",The cardboard makes for a poor blanket,contradiction,neutral,28.57%,other,False
A boy in a black swimsuit playing near the water.,A boy is building a sandcastle near the water.,neutral,contradiction,62.50%,other,False
People cheer as a bicyclist rides his bike off a ramp,People cheer as a stunt rider jumps over a car on a ramp.,neutral,contradiction,36.36%,other,False
The player from the black team is telling something to the player of the red team.,The two teams are relaxing before the match.,neutral,contradiction,14.29%,low_overlap,False
The player from the black team is telling something to the player of the red team.,The teams have black or red uniforms.,entailment,neutral,42.86%,missed_entailment,False
Two men in white suits cheer,The two men in white suits are standing up and pumping their fists in the air.,entailment,contradiction,35.71%,"long_hypothesis, false_contradiction",False
A woman with an umbrella listens on a mobile phone on the street in front of a graffiti-tagged wall.,A woman is calling for a cab so she wont have to walk in the rain.,contradiction,neutral,26.67%,long_hypothesis,False
A woman with an umbrella listens on a mobile phone on the street in front of a graffiti-tagged wall.,A person is on the phone outside in the rain.,entailment,neutral,55.56%,missed_entailment,False
A woman wearing a brown jacket and brown pants is walking her two dogs along the beach as they follow another person.,A man and women take their dogs for a walk on the beach.,neutral,contradiction,33.33%,negation,True
A young boy showing off a orange and white striped costume with a orange and white joker hat.,The boy is under the age of 18.,neutral,entailment,14.29%,"low_overlap, false_entailment",False
Two children lined up outside in a grassy field with their arms stretched out to the sides.,Two kids were in a field with their arms down.,contradiction,entailment,70.00%,missed_contradiction,False
Two children lined up outside in a grassy field with their arms stretched out to the sides.,Two kids were arm in arm in a field.,contradiction,entailment,42.86%,missed_contradiction,False
Two children lined up outside in a grassy field with their arms stretched out to the sides.,Two kids were running outside with their arms out like airplane wings.,neutral,contradiction,50.00%,other,False
"Two children, standing among grass, are putting their arms out and are smiling.",Two kids in the park smiling.,entailment,neutral,33.33%,missed_entailment,False
A man in a suit walks through a train station.,the child was happy`,contradiction,neutral,0.00%,"low_overlap, short_hypothesis",False
An old man is sitting down in the street.,The old man takes a rest.,neutral,entailment,50.00%,false_entailment,False
Greyhounds race on a sandy track with the dog in green taking the lead.,Dog in green is winning Greyhound race at track,entailment,neutral,55.56%,missed_entailment,False
Four people wearing street clothes work on the scalp of a woman in an improvised medical treatment.,The woman is getting a haircut.,contradiction,neutral,50.00%,other,False
Three women and one man are sitting on a ledge facing away towards a large window.,A group of people are on a balcony.,neutral,entailment,42.86%,false_entailment,False
